,Date,User,Tweet
0,2022-11-03 02:42:42+00:00,GirlsinTech,"You have a voice. You have powerful thoughts and ideas. It's time to speak up.
It may not always be easy to speak your mind or voice your opinion. But remember this:
You've got a global community of women backing you. Be bold, girl. Speak up. 

#speakup #girlsintech #womenintech https://t.co/1F5sdxYiBv"
1,2022-11-01 02:00:48+00:00,GirlsinTech,"Why are there more men starting businesses than women?

#girlsintech #genderequality #gendergap #womenintech https://t.co/y1BpCtnlGh"
2,2022-10-28 00:01:58+00:00,GirlsinTech,"Did you know that the global space market is booming? 🚀  

👩‍💻 In our upcoming webinar in partnership with AWS, you’ll learn how to get involved, and what trends are expected in the coming years.

Sign up via the link below!
https://t.co/x1qqApc2lW

#girlsintech #spaceeconomy https://t.co/TBXG2RplBv"
3,2022-10-27 02:21:13+00:00,GirlsinTech,"Been sitting on an epic business idea? 💡 What if you were to just go for it?

In our latest blog post, we explore the steps to take to start a business. Hit the link to read  https://t.co/3vZZw8UKFY

#girlsintech #startup #techstartup #womenintech https://t.co/6TjRamW5S1"
4,2022-10-25 23:58:44+00:00,GirlsinTech,"Meet Sandy Carter: THE top female pioneer in the Web3 space. She’s the ideal woman to share her steps to success, to manage a busy schedule &amp; passion for innovation in the tech space. 
Tune into this inspiring conversation on the Girls in Tech Podcast. https://t.co/VQD0BDUjXS https://t.co/inXQep1T4J"
5,2022-10-25 02:49:24+00:00,GirlsinTech,"The Girls in Tech Jobs Board takes the hassle out of finding the latest, most exciting jobs in tech. 

But building up the courage to hit apply? That’s all you, girl.

https://t.co/F5yuAOoOJB #girlsintech #techjobs https://t.co/3EQ5ZwWY46"
6,2022-10-20 03:38:35+00:00,GirlsinTech,"“Out of 35 employees, I was the only woman and person of color. I would go into work each day and look around the room, like there’s really something wrong with this. The lack of diversity was affecting how we were innovating.” 
- Let's work together to change this! #girlsintech https://t.co/j32s062kQ3"
7,2022-10-14 02:32:39+00:00,GirlsinTech,"The Girls in Tech Startup Challenge helps female founders access funding, mentorship and media exposure. It’s a chance to properly ideate, map out, and prepare your product for launch to market!
Applications open, apply here https://t.co/FxcdlUckaz #GirlsinTech #startupchallenge https://t.co/LrVLlqH2K4"
8,2022-10-13 14:12:58+00:00,GirlsinTech,Latina founders are at the forefront of the future of #tech despite holding just 2% of tech jobs. 👏These role models will inspire you and show you that there is a path to success and a place for you in tech! ✨https://t.co/00zFv5B9Ng
9,2022-10-13 02:42:34+00:00,GirlsinTech,"Workplaces 👏 Need 👏 To 👏 Support 👏 People 👏 Recovering 👏 From 👏 Illness

#breastcancerawareness #workplacesupport #girlsintech #supportingwomen https://t.co/FcdcXxIpfk"
10,2022-10-13 02:40:40+00:00,GirlsinTech,"Girls in Tech is proud to partner with @TIAA  to present an insightful panel-style webinar featuring 4 cybersecurity professionals. Learn about job opportunities, why females are so in demand, and what it’s like fighting cybercrime. 
Get your ticket here: https://t.co/T7b5lmeRZe https://t.co/0wzsQAcWhr"
11,2022-10-06 20:02:38+00:00,GirlsinTech,"Check out our latest blog post to learn how tech is shaping the breast cancer space, and for tips on how YOU can make a difference this Breast Cancer Awareness Month.

https://t.co/PoiZArEQeN

#BreastCancerAwareness #FightCancer #PinkRibbon"
12,2022-09-30 14:05:08+00:00,GirlsinTech,"There are less than 2 weeks until the last Girls in Tech Design Thinking Bootcamp of the year!

Join us in Phoenix on October 8 &amp; 9 to learn firsthand from Drew Tucker, Director of Strategy at @kertiscreative. 

Register now - https://t.co/CpUAzFsdbZ

#DesignThinking #GirlsinTech https://t.co/4RFxRMQbZJ"
13,2022-09-29 21:54:43+00:00,GirlsinTech,"Women have made incredible gains in #STEM, but they continue to face biases in the workplace. 

Author Ruchika Tulshyan recommends 6 interpersonal habits to help people &amp; workplaces bridge the #gendergap. 

Check them out ✨https://t.co/lOMbx4paaw✨"
14,2022-09-28 16:04:45+00:00,GirlsinTech,"The new and improved Girls in Tech Podcast is here!

Dive into Episode 1, where we talk to 21-year-old aspiring astronaut  Alyssa Carson about how she manages her VERY busy schedule. Tune in to be inspired and learn something new.

https://t.co/VTBkP4WRHq

@NASABlueberry1 https://t.co/XQblz1gG2u"
